City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Mandalgovi,MN,45.7625,106.2708,6.08,76,91,27.02,overcast clouds
267,Salalah,OM,17.0151,54.0924,61.38,77,0,5.17,clear sky
268,Yar-Sale,RU,66.8333,70.8333,-17.63,87,100,17.36,overcast clouds
269,Maldonado,UY,-34.6667,-54.9167,69.01,77,75,19.57,broken clouds
270,Guerrero Negro,MX,27.9769,-114.0611,59.72,69,72,13.76,broken clouds
271,Matara,LK,5.9485,80.5353,77.74,83,65,3.67,broken clouds
272,Treinta Y Tres,UY,-33.2333,-54.3833,67.59,94,100,19.66,overcast clouds
273,Balgazyn,RU,51.0,95.2,-4.58,84,0,1.77,clear sky
274,Poronaysk,RU,49.2167,143.1167,5.0,86,100,4.56,overcast clouds
275,Mamou,GN,10.5,-12.0,65.86,25,0,1.5,clear sky
276,Kavaratti,IN,10.5669,72.642,80.83,72,4,10.22,clear sky
277,Brae,GB,60.3964,-1.353,33.8,93,40,4.61,light snow
278,Dhaka,BD,23.7104,90.4074,57.2,88,40,4.63,mist
279,Olga,RU,43.7444,135.2892,5.45,77,0,9.4,clear sky
280,Kamenka,RU,51.3223,42.7678,34.0,94,100,11.01,overcast clouds
281,Izhma,RU,65.0083,53.9113,1.47,92,100,8.66,overcast clouds
282,Yulara,AU,-25.2406,130.9889,89.6,20,40,17.27,scattered clouds
283,Boa Esperanca,BR,-21.09,-45.5658,69.06,84,62,2.3,broken clouds
284,Chatham,GB,51.3789,0.5279,39.99,74,8,8.99,clear sky
285,Praia,CV,14.9215,-23.5087,73.4,53,0,17.27,clear sky
286,Vuktyl,RU,63.8567,57.3094,-2.11,92,100,6.8,light snow
287,Bredasdorp,ZA,-34.5322,20.0403,62.01,88,0,6.58,clear sky
288,Sangar,RU,63.9242,127.4739,-46.75,77,85,4.09,overcast clouds
289,Mumbwa,ZM,-14.9783,27.0619,65.91,94,100,2.91,light rain
290,Verkhoyansk,RU,67.5447,133.385,-44.21,75,58,0.74,broken clouds
291,Tshikapa,CD,-6.4167,20.8,70.88,94,100,6.2,moderate rain
292,Gimli,CA,50.6336,-96.9907,23.0,93,100,4.61,overcast clouds
293,Maralal,KE,1.0968,36.698,54.36,58,2,5.7,clear sky
294,Camacha,PT,33.0833,-16.3333,57.2,94,0,4.72,clear sky
295,Bay Roberts,CA,47.5999,-53.2648,28.99,91,100,1.01,overcast clouds
296,Providencia,MX,28.7167,-111.5833,62.01,63,15,8.99,few clouds
297,Sherghati,IN,24.5667,84.7833,41.0,93,0,4.61,fog
298,Kaitangata,NZ,-46.2817,169.8464,61.0,75,100,13.0,overcast clouds
299,Tupiza,BO,-21.45,-65.7167,62.47,51,24,7.63,few clouds
300,Tarpon Springs,US,28.1461,-82.7568,64.0,77,1,2.57,clear sky
301,Bilma,NE,18.6853,12.9164,57.52,32,0,3.87,clear sky
302,Wajid,SO,3.8093,43.2471,66.96,71,17,12.91,few clouds
303,Karasjok,NO,69.4719,25.5112,23.0,86,90,10.36,light snow
304,Teya,RU,60.3778,92.6267,-36.31,77,0,1.41,clear sky
305,Toccoa,US,34.5773,-83.3324,39.2,60,1,3.44,clear sky
306,Kisesa,TZ,-3.0833,34.15,62.29,85,67,8.43,broken clouds
307,Bonavista,CA,48.6499,-53.1147,28.99,93,95,3.44,overcast clouds
308,Ca Mau,VN,9.1769,105.15,82.02,60,61,11.95,broken clouds
309,Taksimo,RU,56.3444,114.8794,-26.25,77,100,0.49,overcast clouds
310,Avera,US,33.194,-82.5271,46.4,61,40,6.91,scattered clouds
311,Havoysund,NO,70.9963,24.6622,26.6,86,75,11.5,light snow
312,Przeworsk,PL,50.0591,22.4941,26.6,86,90,12.66,light snow
313,Sorland,NO,67.667,12.6934,30.22,88,71,8.05,broken clouds
314,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,73,90,5.75,overcast clouds
315,Vestmanna,FO,62.1564,-7.1664,32.0,55,34,26.46,scattered clouds
316,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,3.44,light rain
317,Stornoway,GB,58.2093,-6.3865,35.6,64,100,5.75,overcast clouds
318,Hendek,TR,40.7994,30.7481,37.4,100,40,3.65,scattered clouds
319,College,US,64.8569,-147.8028,-4.0,77,90,0.56,light snow
320,Vao,NC,-22.6667,167.4833,76.21,79,100,21.52,overcast clouds
321,Sonda,EE,59.3436,26.8364,23.38,98,100,6.02,light snow
