City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,Nador,35.174,-2.9287,57.2,94,20,4.61,MA,2021-01-29 22:37:24
262,Salalah,17.0151,54.0924,73.4,60,75,6.91,OM,2021-01-29 22:37:25
263,Odweyne,9.4092,45.064,63.52,65,0,2.44,SO,2021-01-29 22:33:23
264,Walvis Bay,-22.9575,14.5053,66.99,82,68,8.05,NA,2021-01-29 22:37:25
265,Fort Smith,35.3859,-94.3986,55.4,44,1,9.22,US,2021-01-29 22:37:25
266,Comodoro Rivadavia,-45.8667,-67.5,62.6,42,0,11.5,AR,2021-01-29 22:35:03
267,Mizdah,31.4451,12.9801,55.45,44,0,12.21,LY,2021-01-29 22:37:25
268,Merta,26.65,74.0333,50.25,40,0,5.1,IN,2021-01-29 22:33:16
269,La Romana,18.4273,-68.9728,78.8,78,40,10.36,DO,2021-01-29 22:37:25
270,Bonfim,3.0833,-59.95,83.84,54,87,8.16,BR,2021-01-29 22:37:26
271,Tabora,-5.0167,32.8,64.17,95,100,2.06,TZ,2021-01-29 22:37:26
272,Thunder Bay,48.4001,-89.3168,14.0,52,20,4.61,CA,2021-01-29 22:37:26
273,Dawlatabad,36.4141,64.9053,44.51,52,4,2.62,AF,2021-01-29 22:37:26
274,Bathsheba,13.2167,-59.5167,77.0,78,40,13.8,BB,2021-01-29 22:37:26
275,Kemi,65.8596,24.8228,12.2,85,0,10.36,FI,2021-01-29 22:37:26
276,Mahebourg,-20.4081,57.7,80.6,83,40,8.05,MU,2021-01-29 22:37:26
277,Isla Mujeres,21.2311,-86.731,75.2,57,40,11.5,MX,2021-01-29 22:37:26
278,Beloha,-25.1667,45.05,76.1,87,31,7.27,MG,2021-01-29 22:37:27
279,Esmeraldas,-19.7625,-44.3139,84.2,50,0,10.36,BR,2021-01-29 22:37:27
280,Guerrero Negro,27.9769,-114.0611,66.13,61,1,16.55,MX,2021-01-29 22:32:32
281,Poum,-20.2333,164.0167,80.87,71,4,12.35,NC,2021-01-29 22:37:27
282,Strai,58.2,7.9,10.4,92,2,4.61,NO,2021-01-29 22:37:27
283,Mildura,-34.2,142.15,62.6,77,0,10.36,AU,2021-01-29 22:37:27
284,Bowral,-34.4667,150.4167,72.0,98,98,10.0,AU,2021-01-29 22:37:27
285,Bauska,56.4075,24.1906,30.2,93,90,10.36,LV,2021-01-29 22:37:28
286,Chenghai,23.4632,116.768,46.4,81,0,9.53,CN,2021-01-29 22:37:28
287,Iza,48.2152,23.3287,35.01,97,100,3.0,UA,2021-01-29 22:37:28
288,Vigrestad,58.5667,5.7,24.8,80,75,6.91,NO,2021-01-29 22:37:28
289,Long Beach,33.767,-118.1892,53.01,82,90,5.75,US,2021-01-29 22:37:01
290,Bambous Virieux,-20.3428,57.7575,80.6,83,40,8.05,MU,2021-01-29 22:32:41
291,Qasigiannguit,68.8193,-51.1922,-0.4,55,0,8.05,GL,2021-01-29 22:37:28
292,Pacific Grove,36.6177,-121.9166,55.4,54,40,6.91,US,2021-01-29 22:37:28
293,Sergeyevka,53.88,67.4158,16.84,93,32,7.11,KZ,2021-01-29 22:37:29
